kid,value,idf
"495","36523","6.911765"
"496","36524","6.952754"
"497","36525","6.923887"
"498","36526","6.868536"
"499","36527","6.932050"
"500","36517","6.984638"
"501","36518","6.971763"
"502","36519","6.925921"
"503","36510","6.880142"
"504","36511","6.986801"
"505","36512","7.015343"
"506","36513","6.870461"
"507","36514","6.899789"
"508","36515","6.864698"
"509","36516","7.015343"
"510","36506","6.921856"
"511","36507","6.893854"
"512","36508","6.927960"
"513","36509","6.868536"
"514","36500","6.963270"
"515","36501","6.874322"
"516","36502","6.832650"
"517","36503","6.884041"
"518","36504","6.907757"
"519","36505","6.930003"
"520","36480","6.823416"
"521","36481","6.952754"
"522","36482","6.857064"
"523","36483","6.860874"
"524","36484","6.899789"
"525","61440","6.944421"
"526","36485","6.913775"
"527","61441","6.909759"
"528","36486","6.927960"
"529","61442","6.911765"
"530","61443","6.921856"
"531","61444","6.969633"
"532","61445","6.870461"
"533","61446","6.963270"
"534","61447","6.843844"
"535","61448","6.948579"
"536","61449","6.876259"
"537","36487","6.897807"
"538","36488","6.885996"
"539","36489","6.866615"
"540","10","6.878199"
"541","11","6.901775"
"542","12","6.913775"
"543","13","6.891884"
"544","36470","6.838231"
"545","14","6.855165"
"546","36471","6.834507"
"547","15","6.940280"
"548","36472","6.891884"
"549","61450","6.858967"
"550","16","6.810631"
"551","36473","6.868536"
"552","61451","6.857064"
"553","17","6.946498"
"554","36474","6.988967"
"555","61452","6.934101"
"556","18","6.872390"
"557","36475","6.976036"
"558","61453","6.915790"
"559","19","6.988967"
"560","61454","6.876259"
"561","61455","6.882090"
"562","61456","6.866615"
"563","61457","6.885996"
"564","61458","6.965386"
"565","61459","6.946498"
"566","36476","6.899789"
"567","36477","6.907757"
"568","36478","6.889917"
"569","36479","6.887955"
"570","20","6.901775"
"571","21","6.932050"
"572","22","6.942349"
"573","23","6.984638"
"574","24","6.907757"
"575","25","6.932050"
"576","36460","6.923887"
"577","61460","6.982481"
"578","26","6.952754"
"579","36461","6.954849"
"580","61461","6.911765"
"581","27","6.913775"
"582","36462","6.978180"
"583","61462","6.899789"
"584","28","6.878199"
"585","36463","6.887955"
"586","61463","6.940280"
"587","29","6.885996"
"588","36464","6.862784"
"589","61464","6.866615"
"590","61465","6.952754"
"591","61466","6.876259"
"592","61467","6.901775"
"593","61468","6.909759"
"594","61469","6.887955"
"595","36465","6.851377"
"596","36466","6.944421"
"597","36467","6.887955"
"598","36468","6.959051"
"599","36469","6.891884"
"600","30","6.946498"
"601","31","6.866615"
"602","32","6.942349"
"603","33","6.909759"
"604","34","6.942349"
"605","35","6.913775"
"606","61470","6.878199"
"607","36","6.909759"
"608","61471","6.980328"
"609","36450","6.919830"
"610","37","6.887955"
"611","61472","6.915790"
"612","36451","6.893854"
"613","38","6.959051"
"614","61473","6.866615"
"615","36452","6.999873"
"616","39","6.934101"
"617","61474","6.919830"
"618","36453","6.973897"
"619","61475","6.834507"
"620","61476","6.903765"
"621","61477","6.887955"
"622","61478","6.948579"
"623","61479","6.980328"
"624","36454","6.897807"
"625","36455","6.880142"
"626","36456","6.857064"
"627","36457","6.882090"
"628","36458","6.889917"
"629","40","6.878199"
"630","36459","6.885996"
"631","41","6.917808"
"632","42","6.971763"
"633","43","6.876259"
"634","44","6.853269"
"635","45","6.963270"
"636","61480","6.917808"
"637","46","6.961158"
"638","61481","6.895829"
"639","47","6.851377"
"640","61482","6.884041"
"641","48","6.913775"
"642","61483","6.938217"
"643","36440","6.874322"
"644","49","6.885996"
"645","61484","6.932050"
"646","36441","6.942349"
"647","61485","6.909759"
"648","36442","6.948579"
"649","61486","6.903765"
"650","61487","6.936157"
"651","61488","6.798007"
"652","61489","6.882090"
"653","36443","6.823416"
"654","36444","7.022047"
"655","36445","6.919830"
"656","36446","6.885996"
"657","50","6.938217"
"658","36447","6.889917"
"659","51","6.882090"
"660","36448","6.959051"
"661","52","6.901775"
"662","36449","6.851377"
"663","53","6.961158"
"664","54","6.909759"
"665","55","6.851377"
"666","61490","6.961158"
